344,163,satisfactory,18/07/2022 18:29:54
344,163,satisfactory,18/07/2022 18:46:14
480,245,satisfactory,18/07/2022 19:14:10
581,246,satisfactory,18/07/2022 19:20:50
451,158,satisfactory,18/07/2022 19:49:44
412,153,satisfactory,18/07/2022 19:53:25
424,154,satisfactory,19/07/2022 01:42:01
404,152,satisfactory,19/07/2022 01:49:38
396,174,satisfactory,19/07/2022 01:57:19
397,175,satisfactory,19/07/2022 02:05:07
401,144,satisfactory,19/07/2022 02:35:00
398,146,satisfactory,19/07/2022 02:43:17
398,146,satisfactory,19/07/2022 02:51:34
398,146,satisfactory,19/07/2022 02:58:21
398,146,satisfactory,19/07/2022 03:24:09
398,146,satisfactory,19/07/2022 03:57:48
398,146,satisfactory,19/07/2022 04:31:43
398,146,satisfactory,19/07/2022 05:05:25
398,146,satisfactory,19/07/2022 05:39:02
398,146,satisfactory,19/07/2022 06:12:41
398,146,satisfactory,19/07/2022 06:46:16
398,146,satisfactory,19/07/2022 07:19:49
398,146,satisfactory,19/07/2022 07:53:24
398,146,satisfactory,19/07/2022 08:26:58
398,146,satisfactory,19/07/2022 09:00:40
398,146,satisfactory,19/07/2022 09:34:21
398,146,satisfactory,19/07/2022 10:08:01
398,146,satisfactory,19/07/2022 10:41:38
398,146,satisfactory,19/07/2022 11:15:18
398,146,satisfactory,19/07/2022 11:48:57
398,146,satisfactory,19/07/2022 12:11:47
398,146,satisfactory,19/07/2022 12:45:45
398,146,satisfactory,19/07/2022 13:19:48
505,121,satisfactory,19/07/2022 13:44:33
459,110,satisfactory,19/07/2022 13:50:49
441,121,satisfactory,19/07/2022 13:57:16
431,119,satisfactory,19/07/2022 14:03:47
431,119,satisfactory,19/07/2022 14:10:17
431,119,satisfactory,19/07/2022 14:22:46
431,119,satisfactory,19/07/2022 14:32:15
431,119,satisfactory,19/07/2022 14:41:40
431,119,satisfactory,19/07/2022 14:51:17
326,141,satisfactory,19/07/2022 15:17:48
323,141,satisfactory,19/07/2022 15:25:49
322,168,satisfactory,19/07/2022 15:46:23
294,152,satisfactory,24/07/2022 22:40:02
294,152,satisfactory,24/07/2022 22:59:30
294,152,satisfactory,24/07/2022 23:19:47
294,152,satisfactory,24/07/2022 23:40:03
294,152,satisfactory,25/07/2022 00:00:35
294,152,satisfactory,25/07/2022 00:21:00
294,152,satisfactory,25/07/2022 00:41:24
294,152,satisfactory,25/07/2022 01:01:53
294,152,satisfactory,25/07/2022 01:22:30
294,152,satisfactory,25/07/2022 01:41:40
294,152,satisfactory,25/07/2022 01:49:28
294,152,satisfactory,25/07/2022 02:10:04
294,152,satisfactory,25/07/2022 02:16:32
294,152,satisfactory,25/07/2022 02:40:17
294,152,satisfactory,25/07/2022 03:45:31
294,152,satisfactory,25/07/2022 04:50:43
294,152,satisfactory,25/07/2022 05:56:01
294,152,satisfactory,25/07/2022 07:01:16
